Palavra,Link,Instituicao
ajudar,https://media.spreadthesign.com/video/mp4/14/486646.mp4,Spread the Sign
Alemanha,https://media.spreadthesign.com/video/mp4/14/477006.mp4,Spread the Sign
amanha,https://media.spreadthesign.com/video/mp4/14/386861.mp4,Spread the Sign
amar,https://media.spreadthesign.com/video/mp4/14/401209.mp4,Spread the Sign
amarelo,https://media.spreadthesign.com/video/mp4/14/549562.mp4,Spread the Sign
amigo,https://media.spreadthesign.com/video/mp4/14/175583.mp4,Spread the Sign
America,https://media.spreadthesign.com/video/mp4/14/486931.mp4,Spread the Sign
animal de estimacao,https://media.spreadthesign.com/video/mp4/14/549639.mp4,Spread the Sign
aniversario,https://media.spreadthesign.com/video/mp4/14/598621.mp4,Spread the Sign
ano,https://media.spreadthesign.com/video/mp4/14/386860.mp4,Spread the Sign
Aparelho auditivo,https://media.spreadthesign.com/video/mp4/14/549678.mp4,Spread the Sign
azul,https://media.spreadthesign.com/video/mp4/14/436556.mp4,Spread the Sign
bagagem,https://media.spreadthesign.com/video/mp4/14/550132.mp4,Spread the Sign
batata,https://media.spreadthesign.com/video/mp4/14/392747.mp4,Spread the Sign
beber,https://media.spreadthesign.com/video/mp4/14/223482.mp4,Spread the Sign
bebe,https://media.spreadthesign.com/video/mp4/14/575857.mp4,Spread the Sign
beijo,https://media.spreadthesign.com/video/mp4/14/550164.mp4,Spread the Sign
bem vindo,https://media.spreadthesign.com/video/mp4/14/481160.mp4,Spread the Sign
Boa,https://media.spreadthesign.com/video/mp4/14/147976.mp4,Spread the Sign
boca,https://media.spreadthesign.com/video/mp4/14/445146.mp4,Spread the Sign
bochecha,https://media.spreadthesign.com/video/mp4/14/462214.mp4,Spread the Sign
bolo de aniversario,https://media.spreadthesign.com/video/mp4/14/227444.mp4,Spread the Sign
bravo,https://media.spreadthesign.com/video/mp4/14/214657.mp4,Spread the Sign
braco,https://media.spreadthesign.com/video/mp4/14/459061.mp4,Spread the Sign
cadeira,https://media.spreadthesign.com/video/mp4/14/494430.mp4,Spread the Sign
cafe da manha,https://media.spreadthesign.com/video/mp4/14/234769.mp4,Spread the Sign
calcas,https://media.spreadthesign.com/video/mp4/14/575945.mp4,Spread the Sign
caminhar,https://media.spreadthesign.com/video/mp4/14/223414.mp4,Spread the Sign
camisa,https://media.spreadthesign.com/video/mp4/14/575969.mp4,Spread the Sign
caneta,https://media.spreadthesign.com/video/mp4/14/479288.mp4,Spread the Sign
cansado,https://media.spreadthesign.com/video/mp4/14/250434.mp4,Spread the Sign
carro,https://media.spreadthesign.com/video/mp4/14/550401.mp4,Spread the Sign
carta,https://media.spreadthesign.com/video/mp4/14/550406.mp4,Spread the Sign
casa,https://media.spreadthesign.com/video/mp4/14/550420.mp4,Spread the Sign
cavalo,https://media.spreadthesign.com/video/mp4/14/148364.mp4,Spread the Sign
cego,https://media.spreadthesign.com/video/mp4/14/148371.mp4,Spread the Sign
chapeu,https://media.spreadthesign.com/video/mp4/14/226126.mp4,Spread the Sign
China,https://media.spreadthesign.com/video/mp4/14/476466.mp4,Spread the Sign
chorar,https://media.spreadthesign.com/video/mp4/14/450191.mp4,Spread the Sign
cidade,https://media.spreadthesign.com/video/mp4/14/550512.mp4,Spread the Sign
cidade,https://media.spreadthesign.com/video/mp4/14/550511.mp4,Spread the Sign
cintura,https://media.spreadthesign.com/video/mp4/14/459064.mp4,Spread the Sign
Com medo,https://media.spreadthesign.com/video/mp4/14/579501.mp4,Spread the Sign
comboio,https://media.spreadthesign.com/video/mp4/14/208599.mp4,Spread the Sign
comer,https://media.spreadthesign.com/video/mp4/14/450251.mp4,Spread the Sign
