Palavra,Link,Instituicao
ABACATE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABACATE.mp4,UFSC SignBank
ABACAXI,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABACAXI.mp4,UFSC SignBank
ABACAXI2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABACAXI2.mp4,UFSC SignBank
ABACAXI3,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABACAXI3.mp4,UFSC SignBank
ABAIXAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABAIXAR.mp4,UFSC SignBank
ABANAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABANAR.mp4,UFSC SignBank
ABANDONAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABANDONAR.mp4,UFSC SignBank
ABELHA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABELHA.mp4,UFSC SignBank
ABENCOAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABEN%C3%87OAR.mp4,UFSC SignBank
ABORDAGEM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABORDAGEM.mp4,UFSC SignBank
ABORTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABORTAR.mp4,UFSC SignBank
ABORTAR2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABORTAR2.mp4,UFSC SignBank
ABRACAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABRA%C3%87AR.mp4,UFSC SignBank
ABRIL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABRIL.mp4,UFSC SignBank
ABRIR-MENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABRIR-MENTE.mp4,UFSC SignBank
ABRIR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABRIR.mp4,UFSC SignBank
ABSORVENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSORVENTE.mp4,UFSC SignBank
ABSORVER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSORVER.mp4,UFSC SignBank
ABSTER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSTER.mp4,UFSC SignBank
ABSTRATO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSTRATO.mp4,UFSC SignBank
ABSURDO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO.mp4,UFSC SignBank
ABSURDO2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO2.mp4,UFSC SignBank
ABSURDO3,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO3.mp4,UFSC SignBank
ABSURDO4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO4.mp4,UFSC SignBank
ACABAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACABAR.mp4,UFSC SignBank
ACABAR2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACABAR2.mp4,UFSC SignBank
ACADEMICA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACAD%C3%8AMICA.mp4,UFSC SignBank
ACEITAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACEITAR.mp4,UFSC SignBank
ACENDEDOR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACENDEDOR.mp4,UFSC SignBank
ACENDER-FAROL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACENDER-FAROL.mp4,UFSC SignBank
ACENDER-LUZ,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACENDER-LUZ.mp4,UFSC SignBank
ACESSIBILIDADE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACESSIBILIDADE.mp4,UFSC SignBank
ACETONA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACETONA.mp4,UFSC SignBank
ACHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACHAR.mp4,UFSC SignBank
ACHAR2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACHAR2.mp4,UFSC SignBank
ACHAR3,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACHAR3.mp4,UFSC SignBank
ACIDENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACIDENTE.mp4,UFSC SignBank
ACOMODAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACOMODAR.mp4,UFSC SignBank
ACOMPANHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACOMPANHAR.mp4,UFSC SignBank
ACONSELHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACONSELHAR.mp4,UFSC SignBank
ACONTECER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACONTECER.mp4,UFSC SignBank
